intern_id,course_id,rating,completion,time_spent
I001,C001,5,0,91
I001,C003,3,0,107
I001,C004,3,0,21
I001,C007,4,0,77
I001,C008,4,0,78
I001,C009,4,1,34
I001,C010,3,1,83
I001,C011,5,1,40
I001,C012,2,1,79
I001,C014,2,0,103
I001,C015,4,0,27
I001,C016,1,1,123
I001,C018,2,1,165
I002,C004,4,0,59
I002,C007,2,1,143
I002,C008,5,1,84
I002,C009,1,1,155
I002,C010,3,0,155
I002,C013,2,0,154
I002,C015,1,0,170
I002,C019,3,1,120
I003,C003,3,1,34
I003,C004,4,0,82
I003,C006,5,1,170
I003,C008,5,0,179
I003,C013,5,1,47
I003,C014,4,1,94
I003,C015,4,1,148
I003,C016,1,1,22
I003,C017,3,1,70
I003,C018,3,1,115
I003,C020,1,1,31
I004,C001,2,1,120
I004,C002,1,1,21
I004,C003,5,1,148
I004,C004,2,1,179
I004,C007,3,0,57
I004,C008,4,1,158
I004,C011,3,0,112
I004,C013,4,0,166
I004,C014,4,1,147
I004,C015,1,1,170
I004,C016,2,1,163
I004,C019,2,1,159
I005,C002,1,1,67
I005,C005,1,1,94
I005,C010,1,1,112
I005,C011,2,1,87
I005,C012,5,0,147
I005,C015,4,1,138
I005,C016,5,1,27
I005,C019,4,1,80
I005,C020,4,0,68
I006,C001,4,1,65
I006,C003,1,1,112
I006,C004,5,1,135
I006,C005,5,0,86
I006,C006,1,1,73
I006,C009,2,1,149
I006,C010,1,0,58
I006,C011,2,1,172
I006,C013,1,1,39
I006,C018,4,1,51
I006,C020,1,0,144
I007,C003,2,1,73
I007,C004,5,1,72
I007,C005,4,1,25
I007,C006,4,1,118
I007,C010,3,1,82
I007,C011,2,0,136
I007,C012,1,1,148
I007,C013,1,1,115
I007,C014,1,1,136
I007,C016,5,1,95
I007,C018,1,1,88
I007,C019,4,0,163
I007,C020,5,1,52
I008,C001,5,1,29
I008,C004,2,1,115
I008,C007,2,0,147
I008,C012,5,1,120
I008,C016,5,0,114
I008,C017,5,0,54
I008,C018,2,1,173
I008,C020,3,1,77
I009,C006,2,1,171
I009,C009,2,1,115
I009,C010,5,0,32
I009,C012,1,1,103
I009,C014,3,0,119
I009,C015,1,1,28
I009,C016,4,1,130
I009,C017,5,1,44
I009,C019,5,1,76
I009,C020,5,1,161
I010,C001,5,1,94
I010,C002,4,1,164
I010,C003,5,0,156
I010,C006,5,0,155
I010,C007,1,1,164
I010,C011,3,1,110
I010,C012,3,0,160
I010,C013,2,1,80
I010,C017,1,1,132
I010,C018,1,0,153
I011,C002,5,1,166
I011,C004,1,0,162
I011,C005,5,1,22
I011,C007,4,1,35
I011,C009,4,1,141
I011,C010,2,1,79
I011,C012,1,1,174
I011,C014,1,1,176
I011,C015,3,1,101
I011,C016,5,1,29
I011,C019,1,1,165
I012,C001,5,1,105
I012,C004,1,1,148
I012,C005,4,1,114
I012,C011,5,1,129
I012,C012,5,1,132
I012,C014,2,1,137
I012,C016,1,1,152
I012,C017,3,1,131
I012,C018,5,1,85
I013,C006,2,1,98
I013,C007,2,1,152
I013,C009,1,1,103
I013,C010,2,1,145
I013,C012,3,1,170
I013,C013,3,0,27
I013,C014,4,1,115
I013,C015,5,1,80
I013,C016,3,1,111
I013,C017,5,1,152
I013,C018,2,1,97
I013,C019,3,0,66
I014,C001,3,1,80
I014,C002,4,1,132
I014,C005,2,1,97
I014,C006,5,0,75
I014,C007,3,1,126
I014,C008,5,1,57
I014,C009,1,1,47
I014,C010,1,1,105
I014,C011,4,0,32
I014,C015,4,1,53
I014,C019,5,1,45
I015,C001,3,1,140
I015,C002,5,0,131
I015,C003,3,0,113
I015,C004,1,0,50
I015,C005,4,1,25
I015,C006,4,1,98
I015,C008,3,1,98
I015,C009,2,1,63
I015,C010,2,1,38
I015,C011,4,0,66
I015,C014,3,1,96
I015,C015,1,1,29
I015,C016,2,1,32
I015,C018,5,0,28
I015,C020,3,1,68
I016,C003,5,1,156
I016,C004,3,0,59
I016,C006,5,0,124
I016,C010,3,1,173
I016,C012,2,1,59
I016,C013,3,1,116
I016,C015,1,1,72
I016,C018,3,1,61
I016,C019,5,1,174
I017,C001,1,1,174
I017,C003,2,1,142
I017,C005,5,0,128
I017,C006,5,1,176
I017,C007,4,1,174
I017,C010,3,1,167
I017,C011,2,1,153
I017,C012,2,1,159
I017,C014,2,1,130
I017,C017,4,1,56
I017,C019,4,1,156
I017,C020,5,0,60
I018,C002,5,1,129
I018,C003,1,1,74
I018,C004,5,1,72
I018,C005,4,1,173
I018,C006,4,1,94
I018,C008,3,1,36
I018,C010,3,0,171
I018,C012,5,1,48
I018,C015,5,1,100
I018,C017,4,1,123
I018,C018,1,1,142
I018,C020,5,1,49
I019,C003,3,1,132
I019,C004,3,0,148
I019,C005,3,1,129
I019,C006,1,0,51
I019,C009,3,0,91
I019,C010,5,0,116
I019,C019,2,0,26
I020,C002,3,1,101
I020,C005,2,1,138
I020,C006,5,1,156
I020,C007,4,0,105
I020,C009,3,1,147
I020,C010,2,0,33
I020,C013,1,0,23
I020,C014,5,0,56
I020,C015,2,1,61
I020,C017,1,1,141
I020,C019,5,1,50
I021,C004,5,1,141
I021,C005,2,0,126
I021,C006,5,1,45
I021,C007,3,1,132
I021,C011,5,1,55
I021,C012,3,1,100
I021,C013,5,0,173
I021,C014,1,0,36
I021,C015,5,1,61
I021,C016,3,1,127
I021,C018,2,0,120
I021,C019,3,1,36
I022,C001,4,1,102
I022,C007,1,1,78
I022,C010,2,1,164
I022,C011,5,1,154
I022,C012,5,1,134
I022,C016,4,1,165
I022,C017,1,1,171
I022,C018,4,1,150
I022,C020,4,1,139
I023,C001,5,1,160
I023,C005,3,1,177
I023,C006,5,1,179
I023,C008,4,0,81
I023,C009,1,1,140
I023,C011,4,1,22
I023,C012,2,1,56
I023,C013,1,1,92
I023,C014,1,1,159
I023,C017,4,1,82
I023,C019,5,1,71
I023,C020,4,1,73
I024,C002,2,0,76
I024,C003,1,1,139
I024,C004,5,1,28
I024,C007,2,1,101
I024,C009,3,0,139
I024,C011,4,1,117
I024,C012,3,1,48
I024,C019,4,1,91
I025,C001,2,0,79
I025,C002,4,0,100
I025,C003,5,1,112
I025,C007,5,1,25
I025,C008,4,1,78
I025,C009,5,1,108
I025,C011,3,1,26
